"geometry","country","code","region","who_testing_capacity","owid_testing_capacity","pop_100k","max_new_tests_cap_avg","cap_cum_tests","cum_tpr","dx_testing_capacity","ngs_capacity","sequencing_capacity","total_sequences","submission_count","total_viable_sequences","all_cases","percent_cases_sequenced","sequences_per_capita_per_100k","sars_cov_2_sequencing","cases_newly_reported_in_last_7_days_per_100000_population","world_bank_economies","archetype_full","archetype","label","dx_testing_capacity_clean","sequencing_capacity_clean","sars_cov_2_sequencing_clean","archetype_clean"
NaN,"The Bahamas","BHS","Americas","1 - Reliable",1,3.93,126.96,37987.0229007634,0.147686701632404,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",133,133,133,21580,0.62,33.51,"1-499 sequences",31.02,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"The Gambia","GMB","Africa","1 - Reliable",1,24.17,28.47,4577.61688043029,0.0898943429650853,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",613,687,611,9946,6.16,24.65,"500+ sequences",0.17,"Low income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Togo","TGO","Africa","0 - Unreliable",1,82.79,23.7,6461.95192656118,0.0484611718085554,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",343,347,341,25899,1.32,4.05,"1-499 sequences",2.21,"Low income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"Tonga","TON","Western Pacific","1 - Reliable",1,NaN,NaN,NaN,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",0,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect"
NaN,"Trinidad and Tobago","TTO","Americas","1 - Reliable",1,13.99,140.75,16667.2623302359,0.233322611772274,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",617,617,617,54114,1.14,43.97,"500+ sequences",99.61,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Leverage"
NaN,"Tunisia","TUN","Eastern Mediterranean","1 - Reliable",1,118.19,145.21,25593.2566206955,0.23505397096798,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",132,132,118,710906,0.02,1.11,"1-499 sequences",11.18,"Lower middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Turkey","TUR","Europe","1 - Reliable",1,843.39,375.87,99673.3172079346,0.0917681386943312,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",65452,65452,65385,6831022,0.96,76.96,"500+ sequences",252.44,"Upper middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","4+ NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Turkmenistan","TKM","Europe","1 - Reliable",1,NaN,NaN,NaN,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",0,"Upper middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect"
NaN,"Turks and Caicos Islands","TCA","Americas","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",16,16,16,0,NaN,40.79,"1-499 sequences",59.4,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Test"
NaN,"Tuvalu","TUV","Western Pacific","0 - Unreliable",NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,0,NaN,0,"0 sequences",0,"Upper middle income","1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"U.S. Virgin Islands","VIR","Americas","1 - Reliable",1,NaN,NaN,NaN,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",428,428,NaN,NaN,NaN,NaN,"1-499 sequences",89.06,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Connect"
NaN,"Uganda","UGA","Africa","1 - Reliable",1,457.41,15.87,3838.11241555716,0.071362293381545,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",709,712,708,125186,0.57,1.5,"500+ sequences",1.46,"Low income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Ukraine","UKR","Europe","1 - Reliable",1,437.34,105.37,31153.7682352403,0.204350100394215,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",319,320,318,2757328,0.01,0.73,"1-499 sequences",227.81,"Lower middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"United Arab Emirates","ARE","Eastern Mediterranean","1 - Reliable",1,98.9,3134.75,908378.574317492,0.00822376643030475,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",2621,2629,2621,738586,0.35,26.23,"500+ sequences",9.33,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"United Kingdom","GBR","Europe","1 - Reliable",1,678.86,1750.07,464802.206640544,0.02719590845821,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",1020396,1046821,1020185,8488685,12.02,1496.03,"500+ sequences",392.16,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"United Nations Buffer Zone in Cyprus","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States Minor Outlying Islands","UMI","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States Minor Outlying Islands","UMI","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States Minor Outlying Islands","UMI","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States Minor Outlying Islands","UMI","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States Minor Outlying Islands","UMI","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States Minor Outlying Islands","UMI","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States Minor Outlying Islands","UMI","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States Minor Outlying Islands","UMI","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States Minor Outlying Islands","UMI","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"United States of America","USA","Americas","1 - Reliable",1,3310.03,697.47,193010.893254744,0.0706435073198647,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",1328364,1330823,1319866,44955671,2.95,399.01,"500+ sequences",187.46,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Uruguay","URY","Americas","0 - Unreliable",1,34.74,546.23,106763.529073115,0.105516768154997,"Reliable testing capacity",2,"2 - 4+ NGS facilities or equivalent",739,740,737,391044,0.19,21.2,"500+ sequences",25.07,"High income","0 - High Income*","High Income*","","High Income*","High Income*","High Income*","Strengthen"
NaN,"Uzbekistan","UZB","Europe","1 - Reliable",1,334.69,45.89,4182.97529056739,0.129752857142857,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",90,90,73,180958,0.05,0.27,"1-499 sequences",8.21,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Vanuatu","VUT","Western Pacific","1 - Reliable",1,3.07,NaN,0,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",2,2,1,4,50,0.64,"1-499 sequences",0,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Vatican City","VAT","",NaN,NaN,0.01,NaN,0,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,27,0,0,"0 sequences",0,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Venezuela","VEN","Americas","1 - Reliable",1,284.36,61.32,11179.751019834,0.124320163670301,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",171,171,50,392762,0.04,0.6,"1-499 sequences",33.9,"Upper middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","1-3 NGS facilities or equivalent","1-499 sequences","Leverage"
NaN,"Vietnam","VNM","Western Pacific","1 - Reliable",1,973.39,13.21,2961.70085988145,0.30186895788601,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",695,695,476,864053,0.08,0.71,"500+ sequences",27.74,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Wallis and Futuna","WLF","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",10,10,10,0,NaN,90.14,"1-499 sequences",0,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Test"
NaN,"West Bank and Gaza","PSE","Eastern Mediterranean","0 - Unreliable",1,51.01,242.23,50488.2768084689,0.174353412878042,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",132,132,256,894064,0.01,2.53,"1-499 sequences",105.03,"Lower middle income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","1-499 sequences","Connect"
NaN,"Western Sahara","ESH","",NaN,NaN,5.97,9.15,660.469011725293,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Western Sahara - Morocco Disputed Boundary","","",NaN,NaN,NaN,NaN,NaN,NaN,"Unreliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,NaN,NaN,NaN,NaN,"0 sequences",NaN,NaN,"1 - Test","Test","ñ Increase diagnostic testing capacity","Unreliable testing capacity","0 NGS facilities or equivalent","0 sequences","Test"
NaN,"Yemen","YEM","Eastern Mediterranean","1 - Reliable",1,298.26,NaN,0,NaN,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",0,0,0,9526,0,0,"0 sequences",0.56,"Low income","2 - Connect","Connect","ñ Set-up sample referral networks or build NGS capacity from scratch","Reliable testing capacity","0 NGS facilities or equivalent","0 sequences","Connect"
NaN,"Zambia","ZMB","Africa","1 - Reliable",1,183.84,55.74,13858.0124020888,0.0822516531856525,"Reliable testing capacity",1,"1 - 1-3 NGS facilities or equivalent",970,970,969,209521,0.46,5.13,"500+ sequences",0.89,"Lower middle income","4 - Strengthen","Strengthen","ñ Build additional NGS capacity for scale-up","Reliable testing capacity","1-3 NGS facilities or equivalent","500+ sequences","Strengthen"
NaN,"Zimbabwe","ZWE","Africa","1 - Reliable",1,148.63,77.95,9878.09325169885,0.0901830223930156,"Reliable testing capacity",NaN,"0 - 0 NGS facilities or equivalent",657,659,572,132368,0.5,4.35,"500+ sequences",4.53,"Lower middle income","3 - Leverage","Leverage","ñ Leverage existing NGS capacity","Reliable testing capacity","0 NGS facilities or equivalent","500+ sequences","Leverage"
