"name","code","population_size","sequencing_capacity","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","Date tests last reported","Days since tests were reported","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","sars_cov_2_sequencing","ngs_capacity","facility_access","cases_per_100k_last_7_days","old_archetype","archetype_orig","archetype_orig_w_HICs","archetype_new","Archetype","archetype_full_new","Archetype*","Test positivity rate (%) in past year","Average daily tests in past year","% of cases sequenced in past year","Number of sequences in past year","Cases in the last 7 days"
"Switzerland","CHE",8715494,"4+ NGS facilities or equivalent",0.0791118580403124,3.54823927890284,"Reliable testing capacity","December 23, 2021",12,9.62,1026.046,"Sufficient sequencing capacity",2,"1 or more NGS facilities",1317.9,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","7.9 %","3.55 per 1000 persons","9.62 %","1026 per 100k persons","1317.9 per 100k persons"
"Syria","SYR",18275704,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0.05,0.115,"Insufficient sequencing capacity",0,"No NGS facilities",1.2,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0.05 %","0.1 per 100k persons","1.2 per 100k persons"
"Taiwan","TWN",23855008,"4+ NGS facilities or equivalent",0.00180301290316493,1.0362409491091,"Reliable testing capacity","January 04, 2022",0,0.56,0.386,"Sufficient sequencing capacity",2,"1 or more NGS facilities",0.8,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","0.2 %","1.04 per 1000 persons","0.56 %","0.4 per 100k persons","0.8 per 100k persons"
"Tajikistan","TJK",9749625,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","March 30, 2020",645,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","0 per 100k persons"
"Tanzania","TZA",61498438,"0 NGS facilities or equivalent",0.0712790388473904,0.0130664183540741,"Reliable testing capacity","September 23, 2021",103,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",4.6,"Connect","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","7.1 %","0.01 per 1000 persons","0 %","0 per 100k persons","4.6 per 100k persons"
"Thailand","THA",69950844,"1-3 NGS facilities or equivalent",0.0265102389230712,0.455654047023918,"Insufficient data","May 22, 2021",227,0.42,13.331,"Insufficient sequencing capacity",1,"1 or more NGS facilities",29.8,"Strengthen","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","2.7 %","0.46 per 1000 persons","0.42 %","13.3 per 100k persons","29.8 per 100k persons"
"The Bahamas","BHS",396914,"0 NGS facilities or equivalent",0.120848202576717,0.912108624576818,"Reliable testing capacity","December 18, 2021",17,0.6,27.21,"Sufficient sequencing capacity",0,"No NGS facilities",622.8,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","12.1 %","0.91 per 1000 persons","0.6 %","27.2 per 100k persons","622.8 per 100k persons"
"The Gambia","GMB",2486937,"1-3 NGS facilities or equivalent",0.0626384831075119,0.115617118470197,"Reliable testing capacity","December 29, 2021",6,9.23,24.408,"Sufficient sequencing capacity",1,"1 or more NGS facilities",9.7,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","6.3 %","0.12 per 1000 persons","9.23 %","24.4 per 100k persons","9.7 per 100k persons"
"Togo","TGO",8478242,"0 NGS facilities or equivalent",0.0614369269136177,0.144108132972184,"Reliable testing capacity","January 03, 2022",1,1.1,3.621,"Sufficient sequencing capacity",0,"No NGS facilities",32.6,"Test","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","6.1 %","0.14 per 1000 persons","1.1 %","3.6 per 100k persons","32.6 per 100k persons"
"Tonga","TON",106759,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",0,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","Insufficient Data","0 per 100k persons"
"Trinidad and Tobago","TTO",1403374,"0 NGS facilities or equivalent",0.162306643824482,0.628148834724961,"Insufficient data","July 02, 2021",186,1.62,99.831,"Sufficient sequencing capacity",0,"No NGS facilities",233,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","16.2 %","0.63 per 1000 persons","1.62 %","99.8 per 100k persons","233 per 100k persons"
"Tunisia","TUN",11935764,"1-3 NGS facilities or equivalent",0.213877701209727,0.636271756528552,"Unreliable testing capacity","January 03, 2022",1,0.04,1.877,"Insufficient sequencing capacity",1,"1 or more NGS facilities",58.5,"Leverage","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","21.4 %","0.64 per 1000 persons","0.04 %","1.9 per 100k persons","58.5 per 100k persons"
"Turkey","TUR",85042736,"4+ NGS facilities or equivalent",0.0802008816345383,2.64972354230648,"Reliable testing capacity","September 24, 2021",102,1.08,93.739,"Sufficient sequencing capacity",2,"1 or more NGS facilities",337.5,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","8 %","2.65 per 1000 persons","1.08 %","93.7 per 100k persons","337.5 per 100k persons"
"Turkmenistan","TKM",-Inf,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",0,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","Insufficient Data","0 per 100k persons"
"Turks and Caicos Islands","TCA",39226,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0.6,40.789,"Sufficient sequencing capacity",0,"No NGS facilities",711.3,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0.6 %","40.8 per 100k persons","711.3 per 100k persons"
"Tuvalu","TUV",11925,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","Insufficient Data","0 per 100k persons"
"Uganda","UGA",47123533,"1-3 NGS facilities or equivalent",0.0771614609784086,0.083147908728508,"Reliable testing capacity","January 03, 2022",1,0.55,1.294,"Sufficient sequencing capacity",1,"1 or more NGS facilities",22.9,"Strengthen","Strengthen","Strengthen","Sustain","Strengthen - Build additional NGS capacity for scale-up","Sustain - Sustain diagnostic & sequencing levels","Strengthen - Build additional NGS capacity for scale-up","7.7 %","0.08 per 1000 persons","0.55 %","1.3 per 100k persons","22.9 per 100k persons"
"Ukraine","UKR",43466822,"1-3 NGS facilities or equivalent",0.246465131718736,0.700518389190943,"Unreliable testing capacity","January 04, 2022",0,0.02,0.955,"Insufficient sequencing capacity",1,"1 or more NGS facilities",68.8,"Leverage","Test","Test","Test","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","Test - Increase diagnostic testing capacity","24.6 %","0.7 per 1000 persons","0.02 %","1 per 100k persons","68.8 per 100k persons"
"United Arab Emirates","ARE",9991083,"4+ NGS facilities or equivalent",0.00609521693034238,25.2199504134521,"Reliable testing capacity","January 04, 2022",0,0.1,5.705,"Insufficient sequencing capacity",2,"1 or more NGS facilities",172.9,"High Income*","High Income*","Leverage","High Income*","High Income*","High Income*","Leverage - Leverage existing NGS capacity","0.6 %","25.22 per 1000 persons","0.1 %","5.7 per 100k persons","172.9 per 100k persons"
"United Kingdom","GBR",68207114,"4+ NGS facilities or equivalent",0.030383488389063,14.1147859485624,"Reliable testing capacity","January 04, 2022",0,13.25,2128.612,"Sufficient sequencing capacity",2,"1 or more NGS facilities",1862.1,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","3 %","14.11 per 1000 persons","13.25 %","2128.6 per 100k persons","1862.1 per 100k persons"
"United States of America","USA",332915074,"4+ NGS facilities or equivalent",0.0691399928412273,4.17139672491484,"Reliable testing capacity","January 04, 2022",0,5.53,598.95,"Sufficient sequencing capacity",2,"1 or more NGS facilities",1170,"High Income*","High Income*","Strengthen","High Income*","High Income*","High Income*","Strengthen - Build additional NGS capacity for scale-up","6.9 %","4.17 per 1000 persons","5.53 %","599 per 100k persons","1170 per 100k persons"
"Uruguay","URY",3485152,"4+ NGS facilities or equivalent",0.103445150328284,3.0104486557677,"Reliable testing capacity","December 29, 2021",6,0.14,16.126,"Insufficient sequencing capacity",2,"1 or more NGS facilities",321.8,"High Income*","High Income*","Leverage","High Income*","High Income*","High Income*","Leverage - Leverage existing NGS capacity","10.3 %","3.01 per 1000 persons","0.14 %","16.1 per 100k persons","321.8 per 100k persons"
"Uzbekistan","UZB",33935765,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","July 14, 2020",539,0.05,0.165,"Insufficient sequencing capacity",0,"No NGS facilities",2.3,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0.05 %","0.2 per 100k persons","2.3 per 100k persons"
"Vanuatu","VUT",314464,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,16.67,0.318,"Sufficient sequencing capacity",0,"No NGS facilities",0,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","16.67 %","0.3 per 100k persons","0 per 100k persons"
"Venezuela","VEN",28704947,"1-3 NGS facilities or equivalent",0.155937006100619,0.180245336047226,"Insufficient data","May 30, 2021",219,0.03,0.334,"Insufficient sequencing capacity",1,"1 or more NGS facilities",4.8,"Leverage","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","15.6 %","0.18 per 1000 persons","0.03 %","0.3 per 100k persons","4.8 per 100k persons"
"Vietnam","VNM",98168829,"1-3 NGS facilities or equivalent",0.00161066395246577,0.0906026693139076,"Insufficient data","May 08, 2021",241,0.1,1.873,"Insufficient sequencing capacity",1,"1 or more NGS facilities",122,"Strengthen","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","0.2 %","0.09 per 1000 persons","0.1 %","1.9 per 100k persons","122 per 100k persons"
"U.S. Virgin Islands","VIR",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",0,"No NGS facilities",NaN,"High Income*","High Income*","Insufficient Data","High Income*","High Income*","High Income*","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Yemen","YEM",30490639,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,0,"Insufficient sequencing capacity",0,"No NGS facilities",0.1,"Connect","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","0.1 per 100k persons"
"Zambia","ZMB",18920657,"1-3 NGS facilities or equivalent",0.0999651461033641,0.350186731761985,"Reliable testing capacity","January 03, 2022",1,0.22,2.886,"Insufficient sequencing capacity",1,"1 or more NGS facilities",143.2,"Strengthen","Leverage","Leverage","Sequence","Leverage - Leverage existing NGS capacity","Sequence - Improve sequencing levels","Leverage - Leverage existing NGS capacity","10 %","0.35 per 1000 persons","0.22 %","2.9 per 100k persons","143.2 per 100k persons"
"Zimbabwe","ZWE",15092171,"0 NGS facilities or equivalent",0.124027184654644,0.296019811999827,"Reliable testing capacity","January 03, 2022",1,0.17,2.22,"Insufficient sequencing capacity",0,"No NGS facilities",67.1,"Leverage","Connect","Connect","Sequence","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","Sequence - Improve sequencing levels","Connect - Connect to countries with NGS capacity or build NGS capacity from scratch","12.4 %","0.3 per 1000 persons","0.17 %","2.2 per 100k persons","67.1 per 100k persons"
"British Indian Ocean Territory","IOT",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,NaN,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Cook Islands","COK",17572,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,NaN,"Insufficient sequencing capacity",NaN,NaN,0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","Insufficient Data","0 per 100k persons"
"Falkland Islands","FLK",3528,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,0,"Insufficient sequencing capacity",NaN,NaN,0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","0 per 100k persons"
"French Southern and Antarctic Lands","ATF",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,NaN,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Guernsey","GGY",63385,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","Insufficient Data","0 per 100k persons"
"Heard Island and McDonald Islands","HMD",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,NaN,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Jersey","JEY",101073,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","Insufficient Data","0 per 100k persons"
"Montserrat","MSR",4981,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,22.64,240.915,"Sufficient sequencing capacity",NaN,NaN,421.6,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","22.64 %","240.9 per 100k persons","421.6 per 100k persons"
"Niue","NIU",-Inf,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","Insufficient Data","0 per 100k persons"
"Norfolk Island","NFK",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,NaN,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Pitcairn Islands","PCN",-Inf,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","Insufficient Data","0 per 100k persons"
"Saint Helena","SHN",6095,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,0,NaN,NaN,NaN,0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","0 per 100k persons","0 per 100k persons"
"Saint Pierre and Miquelon","SPM",5771,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,0,0,"Insufficient sequencing capacity",NaN,NaN,34.7,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","0 %","0 per 100k persons","34.7 per 100k persons"
"Saint-Barthélemy","BLM",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,NaN,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"South Georgia and the South Sandwich Islands","SGS",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,NaN,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NA %","Insufficient Data","Insufficient Data"
"Wallis and Futuna","WLF",11094,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,2.22,90.139,"Sufficient sequencing capacity",NaN,NaN,0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","2.22 %","90.1 per 100k persons","0 per 100k persons"
"Anguilla","AIA",15125,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,1.7,198.347,"Sufficient sequencing capacity",NaN,NaN,681,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","1.7 %","198.3 per 100k persons","681 per 100k persons"
"Vatican City","VAT",812,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient data","No tests reported",NaN,NaN,0,NaN,NaN,NaN,0,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Insufficient Data","Insufficient Data","NaN %","0 per 100k persons","0 per 100k persons"
"Western Sahara","ESH",NaN,"0 NGS facilities or equivalent",0,0.022375033060037,"Insufficient data","October 13, 2021",83,NaN,NaN,"Insufficient sequencing capacity",NaN,NaN,NaN,"Test","Insufficient Data","Insufficient Data","Insufficient Data","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","Missing key diagnostic or case metrics","0 %","0.02 per 1000 persons","NA %","Insufficient Data","Insufficient Data"
