"name","code","region","ngs_capacity","facility_access","who_testing_capacity","sequencing_capacity","cum_tests_per_100k","cum_tpr","total_tests","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","tests_in_last_year_raw","cases_in_last_year_raw","tests_in_last_year_sum_avg","cases_in_last_year_sum_avg","tests_in_last_year_smoothed","cases_in_last_year_smoothed","cases_in_last_year_smoothed_truncated","avg_tpr_find","tpr_year_raw","tpr_year_smoothed","tpr_year_smoothed_truncated","avg_daily_test_per_1000_last_year_raw","avg_daily_tests_per_1000_last_year_smoothed","dx_testing_capacity","cases_in_last_90_days","sequences_in_last_90_days","population_size","cases_per_100k_last_90_days","percent_of_cases_sequenced_last_90_days","per_capita_seq_rate_in_last_90_days","max_prevalence_variant_pct","cases_in_last_7_days","cases_per_100k_last_7_days","cases_in_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","country","old_test_archetype","old_sequencing_archetype","old_archetype","world_bank_economies","sars_cov_2_sequencing","archetype_orig","archetype_orig_w_HICs","archetype_new"
"Norway","NOR","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",173211.3816639,0.0439277176515894,9389789,2022-01-04,TRUE,0,6531981,361227,6522565.78,346350.87,6570088,348074,348074,0.0514245250795423,0.0553012937422812,0.0529785902411048,0.0529785902411048,3.30120611624504,3.32046506103863,"Reliable testing capacity",220393,8401,5465629,4032.34467615713,3.81182705439828,153.706005292346,0.035652877150838,29683,543.1,361227,36268,10.04,663.565,"Norway","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Oman","OMN","Eastern Mediterranean",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",9985.49050323086,0.600518865242108,509959,2021-05-28,FALSE,221,201626,176656,201625.97,176207.18,100107,176722,85253,0.851618767918327,0.876156844851358,1.76533109572757,0.851618767918327,0.10816526336401,0.133346387311533,"Insufficient data",2345,9,5223376,44.8943365363703,0.383795309168444,0.172302357708884,28.3128835563113,987,18.9,176656,292,0.17,5.59,"Oman","High Income*","500+ sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Pakistan","PAK","Eastern Mediterranean",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",10673.7722506926,0.0550848268152501,23324549,2021-12-30,TRUE,5,16474682,808287,16477800.58,805911.46,16659352,812492,812492,0.0471740109485968,0.0490623734042332,0.0487709245833812,0.0487709245833812,0.204335671135637,0.206626135278655,"Reliable testing capacity",43442,206,225199929,19.2904146075463,0.474195479029511,0.0914742739550331,1.44371598439991,4384,1.9,808287,1449,0.18,0.643,"Pakistan","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Palau","PLW","Western Pacific",0,"No NGS facilities",0,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,13,0,11.61,0,3,0,NaN,Inf,Inf,NaN,NaN,NaN,"Insufficient data",3,0,18174,16.5070980521624,0,0,100,0,0,8,2,25,NaN,"Palau","High Income*","0 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Palestine","PSE","Eastern Mediterranean",0,"No NGS facilities",0,"0 NGS facilities or equivalent",56221.976083121,0.164264023323127,2847177,2021-12-30,TRUE,5,2040305,328862,1990278.82,327706.21,1968489,330916,330916,0.14548856227116,0.161182764341606,0.168106603592908,0.168106603592908,1.09583938685136,1.05726730992849,"Reliable testing capacity",31245,0,5222756,598.247362120689,0,0,100,1638,31.4,328862,35,0.01,0.67,"Palestine","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Panama","PAN","Americas",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",101299.443800695,0.114422300621518,4371071,2021-12-20,TRUE,15,3196912,243918,3196912.05,238516.4,3056967,247954,235218,0.068912182627037,0.0762980025724824,0.0811111143823273,0.0769448934188691,2.02981761615264,2.0069439566175,"Reliable testing capacity",31823,1,4381583,726.290018926949,0.00314238129654652,0.0228228017134447,95,10453,238.6,243918,554,0.23,12.644,"Panama","High Income*","500+ sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Leverage","High Income*"
"Papua New Guinea","PNG","Western Pacific",0,"No NGS facilities",0,"0 NGS facilities or equivalent",2784.72113557617,0.145266487122164,249149,2021-11-28,TRUE,37,209388,35394,210710.97,35375.87,209977,35387,34243,0.156682866014282,0.16903547481231,0.168527981636084,0.16307976587912,0.0641182243684651,0.0709032749757974,"Unreliable testing capacity",14553,314,9119005,159.589779806021,2.1576307290593,3.44335812953277,0.949518199655797,63,0.7,35394,3190,9.01,34.982,"Papua New Guinea","Unreliable testing capacity","500+ sequences","Test","Lower middle income","Sufficient sequencing capacity","Test","Test","Test"
"Paraguay","PRY","Americas",0,"No NGS facilities",1,"0 NGS facilities or equivalent",29857.226973223,0.220902693129037,2010839,2021-12-20,TRUE,15,1481126,360623,1474766.96,356983.94,1547418,359028,359028,0.186212393721339,0.243478947773518,0.232017463930237,0.232017463930237,0.568888188988475,0.594350395326372,"Unreliable testing capacity",10347,23,7219641,143.317375476149,0.222286653136175,0.318575397308537,12.2123388906523,4896,67.8,360623,795,0.22,11.012,"Paraguay","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Insufficient sequencing capacity","Test","Test","Test"
"Peru","PER","Americas",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",67675.8310081281,0.103515650996064,21125401,2021-12-17,TRUE,18,15569810,1290381,15637408.55,1280514.89,16599801,1284663,1284663,0.0749828085239189,0.0828771192455142,0.077390265100166,0.077390265100166,1.29373449286152,1.37931902369632,"Reliable testing capacity",128673,2957,33359415,385.717195580318,2.29807341089428,8.86406431287839,0.101258549203165,26382,79.1,1290381,11301,0.88,33.876,"Peru","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Philippines","PHL","Western Pacific",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",23533.8936494465,0.11094478056958,24975509,2021-12-21,TRUE,14,18448626,2382369,18391680.14,2369949.07,18829597,2373589,2373589,0.111632201518548,0.129135307962772,0.126056282564093,0.126056282564093,0.461249494181636,0.470774468076595,"Reliable testing capacity",238202,43,111046910,214.505743563689,0.0180519055255623,0.0387223741750221,6.72967534138679,22008,19.8,2382358,11613,0.49,10.458,"Philippines","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Poland","POL","Europe",2,"1 or more NGS facilities",0,"4+ NGS facilities or equivalent",69732.9088170793,0.15707590239913,26391814,2021-12-20,TRUE,15,19623316,2822571,19423756.18,2788271.21,19107116,2815027,2669801,0.113984080855065,0.143837616435469,0.147328722974205,0.139728099206599,1.42052235551143,1.4301743167342,"Reliable testing capacity",1230556,16848,37797000,3255.69754213297,1.36913720302042,44.5749662671641,0.0177793563313378,80803,213.8,2822571,40286,1.43,106.585,"Poland","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Portugal","PRT","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",267842.630185349,0.0534713917695915,27311913,2022-01-04,TRUE,0,22125238,1028783,21292680.45,966779.32,21054579,983927,983927,0.0446623457439411,0.0464981664830001,0.0467322096537765,0.0467322096537765,5.94460041296057,5.65693616575383,"Reliable testing capacity",387869,5584,10167923,3814.63352938452,1.43966132895385,54.9178037638562,0.0536341123659523,157115,1545.2,1028783,22070,2.15,217.055,"Portugal","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Puerto Rico","PRI","Americas",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Puerto Rico","High Income*","500+ sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Qatar","QAT","Eastern Mediterranean",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",111006.942034016,0.0798068234050736,3197708,2022-01-04,TRUE,0,1940511,110587,1926356.59,107071.46,1936097,107679,107679,0.0555545270992438,0.0569885973333828,0.0556165316097282,0.0556165316097282,1.84535525621336,1.84115770304261,"Reliable testing capacity",18084,216,2930524,617.091004885133,1.19442601194426,7.37069547971626,1.37733975904681,6429,219.4,110587,2729,2.47,93.123,"Qatar","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Republic of the Congo","COG","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",5750.68865530989,0.0670515531493147,316273,2022-01-03,TRUE,1,243507,14170,245232.87,13315.63,242205,13391,13391,0.343888361092348,0.0581913456286678,0.0552878759728329,0.0552878759728329,0.120902947762491,0.120256495553779,"Reliable testing capacity",6716,111,5657017,118.719812933212,1.65276950565813,1.9621648653345,2.66276416933757,1188,21,14170,413,2.91,7.301,"Republic of the Congo","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Romania","ROU","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",89522.4815469383,0.105499980113033,17222335,2022-01-04,TRUE,0,12591461,1173397,12397561.38,1164951.14,12298474,1176096,1176096,0.0855291367665826,0.0931899006795161,0.09562942524414,0.09562942524414,1.79317774325073,1.75145281812395,"Reliable testing capacity",513056,2016,19127772,2682.2569821514,0.392939562153059,10.5396488414856,0.148487479119486,12501,65.4,1173397,7753,0.66,40.533,"Romania","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Russia","RUS","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",161650.947688681,0.0440436172228825,235903694,2021-12-20,TRUE,15,149199081,7163294,147503690.61,7110610.09,145320437,7185161,6910589,0.0453086984131034,0.0480116496159919,0.0494435686289603,0.0475541440877996,2.80102378801001,2.82095074528433,"Reliable testing capacity",2841108,2577,145912022,1947.13770740563,0.0907040492652866,1.76613274538818,0.11618128429457,132000,90.5,7163294,8993,0.13,6.163,"Russia","High Income*","500+ sequences","High Income*","Upper middle income","Insufficient sequencing capacity","High Income*","Leverage","High Income*"
"Rwanda","RWA","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",31237.6235330451,0.0286851098779826,4026937,2022-01-03,TRUE,1,3291470,107209,3228435.88,103785.43,3246176,104139,104139,0.0320396433940849,0.0325717688449234,0.03208051565904,0.03208051565904,0.696241972467361,0.686660969480569,"Reliable testing capacity",17848,7,13276517,134.432848615341,0.0392200806813088,0.0527246716891185,34.8163655131161,9070,68.3,107209,471,0.44,3.548,"Rwanda","Reliable testing capacity","500+ sequences","Leverage","Low income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Saint Kitts and Nevis","KNA","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",69060.3773584906,0.091060597781542,36602,2021-09-20,TRUE,106,36211,3300,36211.12,3060.71,28765,3059,1629,0.0309105654914037,0.0911325287895943,0.106344515904745,0.0566313227881106,1.87185319203929,2.07151087426185,"Reliable testing capacity",1087,18,53546,2030.03025436074,1.65593376264949,33.6159563739588,15.3317553957278,456,851.6,3300,28,0.85,52.291,"Saint Kitts and Nevis","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Saint Lucia","LCA","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",59742.9347826087,0.126274709579994,109927,2022-01-04,TRUE,0,89878,13521,88751.65,13279.78,88881,13289,13289,0.147623549985999,0.15043725939607,0.149514519413598,0.149514519413598,1.33826682549136,1.32342167957117,"Reliable testing capacity",2154,38,184401,1168.10646363089,1.76415970287837,20.6072635180937,7.58076516829646,524,284.2,13521,86,0.64,46.637,"Saint Lucia","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Saint Vincent and the Grenadines","VCT","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",50568.4684684685,0.106732465126223,56131,2021-07-06,FALSE,182,50458,5867,50458.02,5773.11,34738,5784,2118,0.0544379323921384,0.116274921717072,0.166503540791065,0.0609706949162301,1.24541527829199,1.6825535212632,"Insufficient data",2125,46,111269,1909.78619381858,2.16470588235294,41.3412540779552,6.30493016740544,148,133,5867,73,1.24,65.607,"Saint Vincent and the Grenadines","Reliable testing capacity","1-499 sequences","Connect","Upper middle income","Sufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Samoa","WSM","Western Pacific",0,"No NGS facilities",0,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,1,0,0.98,0,0,0,NaN,Inf,NaN,NaN,NaN,NaN,"Insufficient data",0,0,200144,0,NaN,0,100,0,0,1,0,0,0,"Samoa","Unreliable testing capacity","0 sequences","Test","Upper middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"San Marino","SMR","Europe",0,"No NGS facilities",1,"0 NGS facilities or equivalent",320844.117647059,0.0795878518980263,98622,2021-12-16,TRUE,19,88981,6219,88981.04,5723.09,74747,5812,5812,0.160027884156981,0.0698913251143503,0.0777556289884544,0.0777556289884544,7.17010475423046,6.02312651087832,"Reliable testing capacity",3222,0,34010,9473.68421052631,0,0,100,1025,3013.8,6219,0,0,0,"San Marino","High Income*","0 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Connect","High Income*"
"São Tomé and Príncipe","STP","Africa",0,"No NGS facilities",0,"0 NGS facilities or equivalent",13641.095890411,0.134230434491531,29269,2021-12-29,TRUE,6,21771,2986,21771.1,2883.59,19860,2883,2883,0.372499736995694,0.137154930871343,0.145166163141994,0.145166163141994,0.272358791518108,0.248451867142053,"Reliable testing capacity",426,0,223364,190.72008022779,0,0,100,220,98.5,2986,0,0,0,"São Tomé and Príncipe","Unreliable testing capacity","0 sequences","Test","Lower middle income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Saudi Arabia","SAU","Eastern Mediterranean",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",96580.036766818,0.0167275598219263,33623374,2022-01-04,TRUE,0,22907746,199282,22457646.84,194514.36,22272912,194848,194848,0.00754085834425738,0.00869932816611464,0.00874820499447939,0.00874820499447939,1.8027502713048,1.75279131132098,"Reliable testing capacity",15035,3,35340680,42.5430410507098,0.0199534419687396,0.00848880100779046,63.1596850135961,8516,24.1,199282,186,0.09,0.526,"Saudi Arabia","High Income*","500+ sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Leverage","High Income*"
"Senegal","SEN","Africa",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",5544.76827520306,0.0821108210112708,926215,2022-01-03,TRUE,1,642803,56430,639993.91,55560.89,641974,56074,56074,0.0704795885518725,0.0877873936493763,0.0873462165134413,0.0873462165134413,0.10517821963623,0.105042575054487,"Reliable testing capacity",2417,76,17196308,14.0553425770229,3.14439387670666,0.441955331342053,3.86507667257255,1717,10,56430,2467,4.37,14.346,"Senegal","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Serbia","SRB","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",83520.3731257869,0.179637325403324,7297175,2022-01-04,TRUE,0,4965539,964260,4934775.87,954904.88,4951845,962129,962129,0.166218979101211,0.19419039906846,0.194297075130583,0.194297075130583,1.55708097039672,1.55278684103662,"Reliable testing capacity",329516,3,6871547,4795.36849562406,0.000910426200852159,0.0436582912115714,63.1596850135961,17451,254,964260,214,0.02,3.114,"Serbia","Reliable testing capacity","1-499 sequences","Leverage","Upper middle income","Insufficient sequencing capacity","Leverage","Leverage","Sequence"
"Seychelles","SYC","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",21942.8571428571,1.1909412202381,21504,2020-12-21,FALSE,379,0,25315,0,24564.11,0,24651,0,NaN,Inf,Inf,NaN,0,NaN,"Insufficient data",3984,271,98910,4027.90415529269,6.80220883534137,273.986452330401,1.0993487684165,1159,1171.8,25314,741,2.93,749.166,"Seychelles","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Sierra Leone","SLE","Africa",1,"1 or more NGS facilities",0,"1-3 NGS facilities or equivalent",3397.09163846057,0.0268205737565778,259958,2021-11-29,TRUE,36,194683,4595,183229.39,4410.24,181226,4470,4470,0.0270232036613445,0.0236024717104216,0.0246653349960822,0.0246653349960822,0.0668644956991075,0.0622426462380714,"Reliable testing capacity",872,2,8141343,10.7107635681238,0.229357798165138,0.0245659714865226,77.6393202250021,449,5.5,4595,38,0.83,0.467,"Sierra Leone","Unreliable testing capacity","1-499 sequences","Test","Low income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Singapore","SGP","Western Pacific",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",326635.811965812,0.0147369230845718,19108195,2021-09-20,TRUE,106,13681844,222875,13681364.31,221237.98,13706633,221327,20401,0.00132306943469285,0.0162898363700098,0.0161474375216729,0.00148840346130228,6.40760754010069,8.9428022444053,"Reliable testing capacity",168215,3311,5453600,3084.47630922693,1.96831435959932,60.7121901129529,0.0904372528026332,3187,58.4,222875,9977,4.48,182.943,"Singapore","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Sint Maarten (Dutch part)","SXM","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",0,107,43421,0,NaN,246.424541120656,2.76092001669094,0,0,0,1798,Inf,NaN,"Sint Maarten (Dutch part)","High Income*","500+ sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Slovakia","SVK","Europe",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",761266.684981685,0.0332291507303436,41565161,2021-09-20,TRUE,106,40107322,1091117,40117352.05,1075803.89,40128037,1095278,514447,0.148945582075486,0.0272049328050374,0.0272945820898241,0.0128201386975396,20.1251051231873,28.0513638397226,"Reliable testing capacity",567249,8205,5460726,10387.7945899501,1.44645473152002,150.254746346914,0.0365043930937059,24010,439.7,1091117,17642,1.62,323.071,"Slovakia","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Slovenia","SVN","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",608503.848003848,0.0372276999192541,12650795,2022-01-04,TRUE,0,12058359,345102,11787831.43,337649.88,11751853,342717,342717,0.0713646133955496,0.0286193171060838,0.0291628052188876,0.0291628052188876,15.8906204906205,15.4867039606766,"Reliable testing capacity",172686,12523,2078723,8307.3117486072,7.25189071493925,602.437169358303,0.0239189809546736,12392,596.1,345102,40163,11.64,1932.1,"Slovenia","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Solomon Islands","SLB","Western Pacific",0,"No NGS facilities",1,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",4,0,703995,0.56818585359271,0,0,100,2,0.3,7,1,14.29,0.142,"Solomon Islands","Reliable testing capacity","1-499 sequences","Connect","Lower middle income","Sufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Somalia","SOM","Eastern Mediterranean",0,"No NGS facilities",0,"0 NGS facilities or equivalent",2501.56672749009,0.0591889811708009,391308,2021-12-22,TRUE,13,364799,18818,364799.01,18814.58,334008,18823,18823,0.58145750074227,0.051584571229636,0.0563549376062849,0.0563549376062849,0.0628861332076067,0.0575782049304036,"Reliable testing capacity",2632,0,16359500,16.0885112625691,0,0,100,0,0,18818,11,0.06,0.067,"Somalia","Unreliable testing capacity","1-499 sequences","Test","Low income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"South Africa","ZAF","Africa",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",35922.0860240436,0.163510213315823,21267879,2022-01-03,TRUE,1,14487607,2370241,14478578.55,2344739.38,14565741,2391908,2391908,0.135364130929637,0.163604727820129,0.164214645859761,0.164214645859761,0.669242003281167,0.672851333288833,"Unreliable testing capacity",556236,3030,60041996,926.41157365921,0.544732811252778,5.04646780896491,0.0988201925889109,59056,98.4,2351655,19667,0.84,32.755,"South Africa","Reliable testing capacity","500+ sequences","Strengthen","Upper middle income","Sufficient sequencing capacity","Test","Test","Test"
"South Korea","KOR","Western Pacific",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",30825.7719089508,0.0411077150087652,15804065,2021-10-31,TRUE,65,11427457,584690,11483449.57,573328.75,11535463,575835,304088,0.0254961304776992,0.0511653642625827,0.0499186725318264,0.0263611438916669,0.610663390545222,0.742570266310994,"Reliable testing capacity",323865,8247,51305184,631.251999797915,2.54643138344681,16.0743990314897,0.0363185187077231,28731,56,584690,19538,3.34,38.082,"South Korea","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"South Sudan","SSD","Africa",0,"No NGS facilities",1,"0 NGS facilities or equivalent",2946.78399142398,0.0477319371981701,297596,2022-01-03,TRUE,1,192594,12156,199553.77,11725.22,229851,11751,11751,0.0445738838948393,0.0631172310663884,0.051124424083428,0.051124424083428,0.0471372873432685,0.0562559198788,"Reliable testing capacity",3649,0,11381377,32.0611469069164,0,0,100,885,7.8,12156,87,0.72,0.764,"South Sudan","Reliable testing capacity","1-499 sequences","Connect","Low income","Sufficient sequencing capacity","Strengthen","Strengthen","Sustain"
"Spain","ESP","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",136492.805047588,0.106323762722881,62986857,2021-11-15,TRUE,50,40326542,4900872,40326542.25,4507458.84,41096241,4571639,3212649,0.0707302364131498,0.121529686329168,0.11124226665889,0.0781737920993796,2.36303447144324,2.7640565129751,"Reliable testing capacity",1815783,10204,46745211,3884.42572224136,0.561961423804496,21.8289740953357,0.0293541019882992,752989,1610.8,4826442,71811,1.49,153.622,"Spain","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Sri Lanka","LKA","South-East Asia",1,"1 or more NGS facilities",1,"1-3 NGS facilities or equivalent",11136.9028160463,0.246956802509283,2384745,2021-05-30,FALSE,219,1096183,543687,1115242.84,542276.69,1125086,543812,139788,1.47471472977671,0.495981966514715,0.483351494907945,0.124246502045177,0.140253168443955,0.352632174458406,"Insufficient data",66151,752,21497306,307.71762750179,1.13679309458663,3.49811274026615,0.397576218098594,4343,20.2,543687,2250,0.41,10.466,"Sri Lanka","Reliable testing capacity","500+ sequences","Strengthen","Lower middle income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Saint Martin","MAF","Americas",0,"No NGS facilities",0,"0 NGS facilities or equivalent",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Saint Martin","High Income*","1-499 sequences","High Income*","High income","Insufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Sudan","SDN","Eastern Mediterranean",0,"No NGS facilities",0,"0 NGS facilities or equivalent",1283.81719081393,0.083973276062678,562941,2021-10-27,TRUE,69,404137,21006,422083.88,20529.13,406156,20996,14777,0.102344319167981,0.0519774234974773,0.0516944228326062,0.0363825722136322,0.0252508530989132,0.0309786145842097,"Reliable testing capacity",8607,0,44909351,19.1652736197412,0,0,100,980,2.2,20993,79,0.38,0.176,"Sudan","Unreliable testing capacity","1-499 sequences","Test","Low income","Insufficient sequencing capacity","Connect","Connect","Sequence"
"Suriname","SUR","Americas",0,"No NGS facilities",1,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,47967,0,46406.46,0,46627,0,NaN,Inf,Inf,NaN,NaN,NaN,"Insufficient data",11744,103,591798,1984.4609140281,0.877043596730245,17.4045873760979,2.8665888103637,2669,451,47967,820,1.71,138.561,"Suriname","Reliable testing capacity","500+ sequences","Leverage","Upper middle income","Sufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Sweden","SWE","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",93694.3756807605,0.143492392621374,9462195,2021-05-10,FALSE,239,5395517,920374,5452948.7,866291.51,5452280,883220,579405,0.108726466820401,0.170581243650979,0.161990946906615,0.106268386803319,1.46373288010341,4.18514074998599,"Insufficient data",201505,21511,10160159,1983.28589149048,10.6751693506365,211.719127623889,0.0139255435949504,63193,622,920374,136324,14.81,1341.751,"Sweden","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Insufficient Data","High Income*"
"Switzerland","CHE","Europe",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",173433.760831889,0.0927215081090199,14267622,2021-12-23,TRUE,12,10621966,929853,10619009.67,876936.83,11209154,886777,886777,0.067494393038859,0.0875405739389488,0.0791118580403124,0.0791118580403124,3.36236588241811,3.54823927890284,"Reliable testing capacity",545487,30247,8715494,6258.81906407141,5.54495340860552,347.04860103168,0.00990373897031827,114858,1317.9,929853,89425,9.62,1026.046,"Switzerland","High Income*","500+ sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Syria","SYR","Eastern Mediterranean",0,"No NGS facilities",0,"0 NGS facilities or equivalent",0,Inf,0,NaN,NaN,NaN,0,38591,0,38501.89,0,38776,0,NaN,Inf,Inf,NaN,NaN,NaN,"Insufficient data",14492,21,18275704,79.2965348968226,0.14490753519183,0.114906654211515,13.2945911026523,223,1.2,38591,21,0.05,0.115,"Syria","Unreliable testing capacity","0 sequences","Test","Low income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
"Taiwan","TWN","Western Pacific",2,"1 or more NGS facilities",1,"4+ NGS facilities or equivalent",39351.8747113406,0.00182759316788079,9372436,2022-01-04,TRUE,0,9092277,16314,9015933.98,16232.91,9008255,16242,16242,0.00244941132496432,0.00179427001619066,0.00180301290316493,0.00180301290316493,1.0459061991521,1.0362409491091,"Reliable testing capacity",862,0,23855008,3.61349700658243,0,0,100,179,0.8,16314,92,0.56,0.386,"Taiwan","High Income*","1-499 sequences","High Income*","High income","Sufficient sequencing capacity","High Income*","Strengthen","High Income*"
"Tajikistan","TJK","Europe",0,"No NGS facilities",0,"0 NGS facilities or equivalent",7.33906479345775,24.99,700,2020-03-30,FALSE,645,0,3817,0,3811.91,0,3828,0,NaN,Inf,Inf,NaN,0,NaN,"Insufficient data",9,0,9749625,0.0923112427401054,0,0,100,0,0,3817,0,0,0,"Tajikistan","Unreliable testing capacity","0 sequences","Test","Low income","Insufficient sequencing capacity","Insufficient Data","Insufficient Data","Insufficient Data"
